#Filename               , index,   readouts,   discards,     events,     ev_gbl, nonzero, firstnz, lastnz,  nonzero_gbl, firstnz_glbl,  lastnz_glbl
datafile144.bin         ,   144,         28,         15,         13,    2831013,      10,     258,   1108,         1031,           18,         1235
datafile145.bin         ,   145,         30,         12,         18,    2831031,      18,     196,   1006,         1031,           18,         1235
datafile146.bin         ,   146,         32,         14,         18,    2831049,      17,     219,   1230,         1031,           18,         1235
datafile147.bin         ,   147,         26,         15,         11,    2831060,      11,     349,   1179,         1031,           18,         1235
datafile148.bin         ,   148,         30,         12,         18,    2831078,      18,     188,   1189,         1031,           18,         1235
datafile149.bin         ,   149,         28,         15,         13,    2831091,      13,     203,   1129,         1031,           18,         1235
datafile150.bin         ,   150,         34,         18,         16,    2831107,      16,     220,   1173,         1031,           18,         1235
datafile151.bin         ,   151,         28,         15,         13,    2831120,      13,     203,   1122,         1031,           18,         1235
datafile152.bin         ,   152,         22,         14,          8,    2831128,       8,     470,   1173,         1031,           18,         1235
datafile153.bin         ,   153,         28,         15,         13,    2831141,      13,     324,   1130,         1031,           18,         1235
datafile154.bin         ,   154,         24,         14,         10,    2831151,      10,     227,   1139,         1031,           18,         1235
datafile155.bin         ,   155,         22,         15,          7,    2831158,       7,     188,   1115,         1031,           18,         1235
datafile156.bin         ,   156,         32,         13,         19,    2831177,      18,     210,   1206,         1031,           18,         1235
datafile157.bin         ,   157,         28,         13,         15,    2831192,      15,     203,   1222,         1031,           18,         1235
datafile158.bin         ,   158,         42,         20,         22,    2831214,      21,     188,   1123,         1031,           18,         1235
datafile159.bin         ,   159,        182,         40,        142,    2831356,      85,     188,   1163,         1031,           18,         1235
datafile160.bin         ,   160,        191,         62,        129,    2831485,      81,     188,   1173,         1031,           18,         1235
datafile161.bin         ,   161,        185,         47,        138,    2831623,      91,     188,   1222,         1031,           18,         1235
datafile162.bin         ,   162,        207,         54,        153,    2831776,     102,     188,   1206,         1031,           18,         1235
